variant,temperature,condition,n_ctrl_correct,p_abandon,lo,hi,p_to_target,p_to_other,p_to_refusal
claude_sonnet_4,0.0,asch_zhu_unanimous_confident,260,0.09615384615384616,0.06597868382118621,0.1380892114614379,0.023076923076923078,0.05,0.023076923076923078
claude_sonnet_4,0.0,authoritative_bias,260,0.12692307692307692,0.09182146070578763,0.1728888806505413,0.023076923076923078,0.07692307692307693,0.026923076923076925
claude_sonnet_4,0.0,authority_trust,260,0.1076923076923077,0.07556539624250147,0.15124341631776195,0.026923076923076925,0.06538461538461539,0.015384615384615385
claude_sonnet_4,0.6,asch_zhu_unanimous_confident,272,0.125,0.09084588719522466,0.16959923783305245,0.029411764705882353,0.08455882352941177,0.011029411764705883
claude_sonnet_4,0.6,authoritative_bias,272,0.15073529411764705,0.11309659949550424,0.1981022914622048,0.04411764705882353,0.08455882352941177,0.022058823529411766
claude_sonnet_4,0.6,authority_trust,272,0.11397058823529412,0.0814620248387388,0.15723148621978172,0.029411764705882353,0.051470588235294115,0.03308823529411765
gemini_25_flash_lite,0.0,asch_zhu_unanimous_confident,245,0.2938775510204082,0.24037009839431123,0.35374921284625316,0.1469387755102041,0.10612244897959183,0.04081632653061224
gemini_25_flash_lite,0.0,authoritative_bias,245,0.18775510204081633,0.1438151913539711,0.2413358444856956,0.061224489795918366,0.10204081632653061,0.024489795918367346
gemini_25_flash_lite,0.0,authority_trust,245,0.19591836734693877,0.15107446849826073,0.2501510500645519,0.08163265306122448,0.11020408163265306,0.004081632653061225
gemini_25_flash_lite,0.6,asch_zhu_unanimous_confident,239,0.30962343096234307,0.2544064982386877,0.3708636366970069,0.1297071129707113,0.14225941422594143,0.03765690376569038
gemini_25_flash_lite,0.6,authoritative_bias,239,0.1799163179916318,0.1364027841278629,0.2335568932914919,0.03765690376569038,0.10460251046025104,0.03765690376569038
gemini_25_flash_lite,0.6,authority_trust,239,0.1589958158995816,0.11808256622131214,0.21069800514702014,0.03765690376569038,0.1087866108786611,0.012552301255230125
gpt4o_mini,0.0,asch_zhu_unanimous_confident,240,0.42916666666666664,0.36814709799290585,0.49241812139541824,0.30416666666666664,0.10833333333333334,0.016666666666666666
gpt4o_mini,0.0,authoritative_bias,240,0.1375,0.09961054871463783,0.1868114563903156,0.041666666666666664,0.09583333333333334,0.0
gpt4o_mini,0.0,authority_trust,240,0.14166666666666666,0.10318071832854428,0.19144333269474292,0.075,0.0625,0.004166666666666667
gpt4o_mini,0.6,asch_zhu_unanimous_confident,245,0.46938775510204084,0.4078503488572681,0.5318703409309347,0.3346938775510204,0.11836734693877551,0.0163265306122449
gpt4o_mini,0.6,authoritative_bias,245,0.1673469387755102,0.12581845961468804,0.21914636941711377,0.06938775510204082,0.09795918367346938,0.0
gpt4o_mini,0.6,authority_trust,245,0.13877551020408163,0.10103704416726589,0.18766709533352505,0.053061224489795916,0.08163265306122448,0.004081632653061225
gpt_oss_20b,0.0,asch_zhu_unanimous_confident,208,0.20192307692307693,0.15300019311684493,0.26165679587870655,0.07211538461538461,0.09615384615384616,0.03365384615384615
gpt_oss_20b,0.0,authoritative_bias,208,0.3076923076923077,0.24892944968140207,0.37342989805766347,0.14903846153846154,0.14423076923076922,0.014423076923076924
gpt_oss_20b,0.0,authority_trust,208,0.20192307692307693,0.15300019311684493,0.26165679587870655,0.10096153846153846,0.09615384615384616,0.004807692307692308
gpt_oss_20b,0.6,asch_zhu_unanimous_confident,247,0.21052631578947367,0.1643131672896085,0.26560595298390277,0.09716599190283401,0.08502024291497975,0.02834008097165992
gpt_oss_20b,0.6,authoritative_bias,247,0.2631578947368421,0.21217013387663128,0.3214000554380598,0.13360323886639677,0.10931174089068826,0.020242914979757085
gpt_oss_20b,0.6,authority_trust,247,0.19838056680161945,0.15343378881722547,0.25256585398524434,0.1214574898785425,0.06882591093117409,0.008097165991902834
grok_41_fast,0.0,asch_zhu_unanimous_confident,255,0.12156862745098039,0.08697983127100087,0.16739040906131045,0.03137254901960784,0.08235294117647059,0.00784313725490196
grok_41_fast,0.0,authoritative_bias,255,0.08235294117647059,0.05449255958902248,0.1226103481352382,0.03529411764705882,0.043137254901960784,0.00392156862745098
grok_41_fast,0.0,authority_trust,255,0.10980392156862745,0.07706905330396036,0.1541209872459358,0.058823529411764705,0.043137254901960784,0.00784313725490196
grok_41_fast,0.6,asch_zhu_unanimous_confident,258,0.12403100775193798,0.08924265939199384,0.16985138830707314,0.046511627906976744,0.06976744186046512,0.007751937984496124
grok_41_fast,0.6,authoritative_bias,258,0.1124031007751938,0.07941039526931588,0.1567690353482789,0.05426356589147287,0.05813953488372093,0.0
grok_41_fast,0.6,authority_trust,258,0.13178294573643412,0.09585923270330832,0.17851122638340677,0.09302325581395349,0.031007751937984496,0.007751937984496124
instruct_32b,0.0,asch_zhu_naked_unanimous_confident,237,0.32489451476793246,0.2684726778411599,0.38690247329552085,0.23628691983122363,0.06751054852320675,0.02109704641350211
instruct_32b,0.0,asch_zhu_unanimous_confident,237,0.7172995780590717,0.6568552701384325,0.7708117109811083,0.1518987341772152,0.06329113924050633,0.5021097046413502
instruct_32b,0.0,authoritative_bias,237,0.16033755274261605,0.11909932276574142,0.2124115125716754,0.05063291139240506,0.10548523206751055,0.004219409282700422
instruct_32b,0.0,authority_trust,237,0.24050632911392406,0.19050911983348562,0.2987817667907521,0.06751054852320675,0.05063291139240506,0.12236286919831224
instruct_32b,0.0,ngram_sequence_baseline,237,0.5147679324894515,0.45141137858161845,0.5776533677080591,0.3755274261603376,0.11814345991561181,0.02109704641350211
instruct_32b,0.6,asch_zhu_unanimous_confident,245,0.7673469387755102,0.7105594135693251,0.8158798956137056,0.1836734693877551,0.04081632653061224,0.5428571428571428
instruct_32b,0.6,authoritative_bias,245,0.17551020408163265,0.1329900659547027,0.22804924580024505,0.0653061224489796,0.10612244897959183,0.004081632653061225
instruct_32b,0.6,authority_trust,245,0.23265306122448978,0.18412010438629448,0.289440586430675,0.07755102040816327,0.036734693877551024,0.11836734693877551
llama31_70b_instruct,0.0,asch_zhu_naked_unanimous_confident,248,0.4032258064516129,0.3440981288341517,0.4653058774936354,0.23387096774193547,0.14919354838709678,0.020161290322580645
llama31_70b_instruct,0.0,asch_zhu_unanimous_confident,248,0.8911290322580645,0.8462331386703394,0.9240923357548547,0.03225806451612903,0.008064516129032258,0.8508064516129032
llama31_70b_instruct,0.0,authoritative_bias,248,0.2620967741935484,0.2112892737425633,0.32016224181324643,0.13709677419354838,0.11693548387096774,0.008064516129032258
llama31_70b_instruct,0.0,authority_trust,248,0.18951612903225806,0.14561640107277068,0.24288811922887926,0.0846774193548387,0.10483870967741936,0.0
llama31_70b_instruct,0.0,ngram_sequence_baseline,248,0.4798387096774194,0.4184420990011863,0.5418504023171029,0.3024193548387097,0.1774193548387097,0.0
llama31_70b_instruct,0.0,ngram_sequence_matched_baseline,248,0.3709677419354839,0.3132416753173435,0.4326303331197059,0.20161290322580644,0.1693548387096774,0.0
llama31_70b_instruct,0.6,asch_zhu_naked_unanimous_confident,250,0.388,0.32972419944620157,0.44966578233771404,0.224,0.14,0.024
llama31_70b_instruct,0.6,asch_zhu_unanimous_confident,250,0.744,0.686492019930042,0.7941226626121417,0.036,0.008,0.7
llama31_70b_instruct,0.6,authoritative_bias,250,0.24,0.19124802403494187,0.2966215765348623,0.116,0.124,0.0
llama31_70b_instruct,0.6,authority_trust,250,0.228,0.1803405041462213,0.2838923087575739,0.052,0.164,0.012
llama31_70b_instruct,0.6,ngram_sequence_baseline,250,0.48,0.4188413078841016,0.5417640460058832,0.272,0.208,0.0
llama31_70b_instruct,0.6,ngram_sequence_matched_baseline,250,0.4,0.34122728621763343,0.46179948323229125,0.2,0.192,0.008
llama3_8b_instruct,0.0,asch_zhu_unanimous_confident,154,0.974025974025974,0.9351239123333996,0.9898540402469087,0.23376623376623376,0.045454545454545456,0.6948051948051948
llama3_8b_instruct,0.0,authoritative_bias,154,0.22727272727272727,0.16819628437818138,0.2996246196167097,0.05844155844155844,0.16883116883116883,0.0
llama3_8b_instruct,0.0,authority_trust,154,0.42857142857142855,0.35308664485931474,0.5075331157107756,0.11038961038961038,0.14285714285714285,0.17532467532467533
llama3_8b_instruct,0.6,asch_zhu_unanimous_confident,145,0.9448275862068966,0.8949116184853204,0.9717815640657942,0.2827586206896552,0.034482758620689655,0.6275862068965518
llama3_8b_instruct,0.6,authoritative_bias,145,0.2206896551724138,0.16088432964348773,0.2949129743360449,0.041379310344827586,0.1724137931034483,0.006896551724137931
llama3_8b_instruct,0.6,authority_trust,145,0.3931034482758621,0.31734377558655397,0.47438111852906956,0.1310344827586207,0.11724137931034483,0.14482758620689656
llama4_maverick,0.0,asch_zhu_unanimous_confident,271,0.28044280442804426,0.23031388828075838,0.3367094444316112,0.16236162361623616,0.05166051660516605,0.06642066420664207
llama4_maverick,0.0,authoritative_bias,271,0.18450184501845018,0.14284095834337618,0.23498248614246592,0.1033210332103321,0.07749077490774908,0.0036900369003690036
llama4_maverick,0.0,authority_trust,271,0.13284132841328414,0.09751999743911391,0.178426584155521,0.06642066420664207,0.06273062730627306,0.0036900369003690036
llama4_maverick,0.6,asch_zhu_unanimous_confident,258,0.2596899224806202,0.20998935686896456,0.3164418901139443,0.16279069767441862,0.03875968992248062,0.05813953488372093
llama4_maverick,0.6,authoritative_bias,258,0.13565891472868216,0.09918466486289781,0.18282399991764128,0.08914728682170543,0.046511627906976744,0.0
llama4_maverick,0.6,authority_trust,258,0.13178294573643412,0.09585923270330832,0.17851122638340677,0.06589147286821706,0.05426356589147287,0.011627906976744186
think,0.0,asch_zhu_unanimous_confident,205,0.25853658536585367,0.2034305633653757,0.32252595104554627,0.17073170731707318,0.04390243902439024,0.04390243902439024
think,0.0,authoritative_bias,205,0.2048780487804878,0.1552973047189184,0.26531621289443064,0.0975609756097561,0.09268292682926829,0.014634146341463415
think,0.0,authority_trust,205,0.25365853658536586,0.19900411394415837,0.31737576439425697,0.13658536585365855,0.06341463414634146,0.05365853658536585
think_32b,0.0,asch_zhu_unanimous_confident,252,0.18253968253968253,0.13973209561364125,0.23488094620598465,0.05555555555555555,0.047619047619047616,0.07936507936507936
think_32b,0.0,authoritative_bias,252,0.13095238095238096,0.09478610828340939,0.17820155283190575,0.05555555555555555,0.07539682539682539,0.0
think_32b,0.0,authority_trust,252,0.16666666666666666,0.12573119375300562,0.21761250015760158,0.051587301587301584,0.08333333333333333,0.031746031746031744
think_32b,0.6,asch_zhu_unanimous_confident,246,0.14634146341463414,0.1076155223223509,0.1959432124920275,0.08130081300813008,0.028455284552845527,0.036585365853658534
think_32b,0.6,authoritative_bias,246,0.12195121951219512,0.08677325043476475,0.16875505229784665,0.052845528455284556,0.06910569105691057,0.0
think_32b,0.6,authority_trust,246,0.15040650406504066,0.11113074610924091,0.20043306071876538,0.07317073170731707,0.036585365853658534,0.04065040650406504
think_7b,0.6,asch_zhu_unanimous_confident,188,0.31382978723404253,0.25178500274650006,0.383330634320747,0.0851063829787234,0.11702127659574468,0.11170212765957446
think_7b,0.6,authoritative_bias,188,0.30851063829787234,0.24687272989486098,0.3778176396600218,0.13829787234042554,0.13297872340425532,0.03723404255319149
think_7b,0.6,authority_trust,188,0.32978723404255317,0.2665799300392324,0.3998115095651078,0.10106382978723404,0.14361702127659576,0.0851063829787234
