experiment_group,model_id,short_name,architecture,variant,temperature,condition_name,n_observed,n_denominator,state_A_n,state_B_n,state_C_n,state_D_n,ber,ber_lo,ber_hi,refusal_rate,refusal_lo,refusal_hi,correct_rate,correct_lo,correct_hi,control_B_n,ber_control,conformity_effect,ce_lo,ce_hi
cross_family_main,allenai/Olmo-3-32B-Think-DPO,OLMo-32B-Think-DPO,think,think_dpo,0.0,asch_zhu_unbiased_unanimous_confident,400,400,226,77,0,97,0.1925,0.15686042573701753,0.2339898482317861,0.0,0.0,0.009512640599680667,0.565,0.516025173472477,0.6127381832495644,23,0.0575,0.135,0.09936042573701753,0.1764898482317861
cross_family_main,allenai/Olmo-3-32B-Think-DPO,OLMo-32B-Think-DPO,think,think_dpo,0.0,authoritative_bias,400,400,233,81,1,85,0.2025,0.16603317911938578,0.24462684203742427,0.0025,0.00044143642943440895,0.014023640967247855,0.5825,0.5336108347956647,0.629819579505388,23,0.0575,0.14500000000000002,0.10853317911938579,0.18712684203742427
cross_family_main,allenai/Olmo-3-32B-Think-DPO,OLMo-32B-Think-DPO,think,think_dpo,0.0,authority_zhu_unbiased_trust,399,399,221,86,1,91,0.21553884711779447,0.1780052210163895,0.2584978610883385,0.002506265664160401,0.00044254312931190764,0.014058441873230035,0.5538847117794486,0.5048256317058044,0.601916075208278,23,0.0575,0.15803884711779448,0.1205052210163895,0.2009978610883385
cross_family_main,allenai/Olmo-3-32B-Think-DPO,OLMo-32B-Think-DPO,think,think_dpo,0.0,control,400,400,249,23,8,120,0.0575,0.038617261729224514,0.08480142520149289,0.02,0.010168264597915496,0.038963870377777945,0.6225,0.5740402091679837,0.6686291938850946,23,0.0575,0.0,-0.01888273827077549,0.02730142520149289
cross_family_main,allenai/Olmo-3-32B-Think-DPO,OLMo-32B-Think-DPO,think,think_dpo,0.6,asch_zhu_unbiased_unanimous_confident,400,400,229,81,0,90,0.2025,0.16603317911938578,0.24462684203742427,0.0,0.0,0.009512640599680667,0.5725,0.5235544015629189,0.6200662655501273,20,0.05,0.15250000000000002,0.11603317911938578,0.19462684203742425
cross_family_main,allenai/Olmo-3-32B-Think-DPO,OLMo-32B-Think-DPO,think,think_dpo,0.6,authoritative_bias,400,400,228,76,0,96,0.19,0.15457325560638852,0.23132458156541352,0.0,0.0,0.009512640599680667,0.57,0.521043416119755,0.6176248141962897,20,0.05,0.14,0.10457325560638851,0.18132458156541353
cross_family_main,allenai/Olmo-3-32B-Think-DPO,OLMo-32B-Think-DPO,think,think_dpo,0.6,authority_zhu_unbiased_trust,400,400,231,79,2,88,0.1975,0.16144205642368673,0.2393130911391201,0.005,0.0013722242215711469,0.018045289972112716,0.5775,0.5285801141391775,0.624945426567872,20,0.05,0.14750000000000002,0.11144205642368672,0.1893130911391201
cross_family_main,allenai/Olmo-3-32B-Think-DPO,OLMo-32B-Think-DPO,think,think_dpo,0.6,control,400,400,245,20,1,134,0.05,0.0325971756266401,0.07596420091307252,0.0025,0.00044143642943440895,0.014023640967247855,0.6125,0.5639018250228361,0.6589578308422358,20,0.05,0.0,-0.017402824373359903,0.025964200913072513
cross_family_main,allenai/Olmo-3-32B-Think-SFT,OLMo-32B-Think-SFT,think,think_sft,0.0,asch_zhu_unbiased_unanimous_confident,400,400,227,104,0,69,0.26,0.2194409481918117,0.30512511929603503,0.0,0.0,0.009512640599680667,0.5675,0.5185336742850802,0.6151821192339629,27,0.0675,0.1925,0.1519409481918117,0.23762511929603503
cross_family_main,allenai/Olmo-3-32B-Think-SFT,OLMo-32B-Think-SFT,think,think_sft,0.0,authoritative_bias,400,400,231,78,0,91,0.195,0.15915003771249597,0.23665267305330928,0.0,0.0,0.009512640599680667,0.5775,0.5285801141391775,0.624945426567872,27,0.0675,0.1275,0.09165003771249597,0.16915267305330928
cross_family_main,allenai/Olmo-3-32B-Think-SFT,OLMo-32B-Think-SFT,think,think_sft,0.0,authority_zhu_unbiased_trust,400,400,225,97,1,77,0.2425,0.2030757339434459,0.28682327596538965,0.0025,0.00044143642943440895,0.014023640967247855,0.5625,0.5135179111980513,0.6102930087269886,27,0.0675,0.175,0.1355757339434459,0.21932327596538964
cross_family_main,allenai/Olmo-3-32B-Think-SFT,OLMo-32B-Think-SFT,think,think_sft,0.0,control,400,400,241,27,5,127,0.0675,0.046801154899328234,0.09642727921939556,0.0125,0.005350671853550634,0.02892415273113802,0.6025,0.5537843145893452,0.6492655940877204,27,0.0675,0.0,-0.02069884510067177,0.028927279219395557
